Player ID,Numer of times made above 95th % in Total Points,Numer of times made above 95th % in PPV,Average of value,Value<50,50<=Value<=100,100<Value
314,2,2,49.22222222,2,#N/A,#N/A
176,2,2,50,#N/A,2,#N/A
319,2,2,43.72222222,2,#N/A,#N/A
331,6,2,53.88888889,#N/A,2,#N/A
210,5,2,118.9210526,#N/A,#N/A,2
182,15,2,74.16666667,#N/A,2,#N/A
151,5,2,74.52777778,#N/A,2,#N/A
274,1,2,43.72222222,2,#N/A,#N/A
276,2,2,44.66666667,2,#N/A,#N/A
24,2,2,43.61111111,2,#N/A,#N/A
567,0,2,49.32258065,2,#N/A,#N/A
494,3,2,50.05714286,#N/A,2,#N/A
425,1,2,42.91428571,2,#N/A,#N/A
526,1,2,43.37142857,2,#N/A,#N/A
563,2,2,50,#N/A,2,#N/A
441,1,2,61.37142857,#N/A,2,#N/A
454,2,2,52.36111111,#N/A,2,#N/A
386,5,2,54.08571429,#N/A,2,#N/A
577,1,2,45,2,#N/A,#N/A
366,6,2,84,#N/A,2,#N/A
458,2,2,54.38888889,#N/A,2,#N/A
358,2,2,54,#N/A,2,#N/A
491,3,2,43.83333333,2,#N/A,#N/A
362,4,2,50,#N/A,2,#N/A
513,2,2,42.69444444,2,#N/A,#N/A
452,2,2,39.22857143,2,#N/A,#N/A
424,0,2,42.91666667,2,#N/A,#N/A
508,4,2,77.27777778,#N/A,2,#N/A
443,3,2,43.14285714,2,#N/A,#N/A
509,1,2,43.5,2,#N/A,#N/A
587,2,2,59.83333333,#N/A,2,#N/A
510,1,2,43.33333333,2,#N/A,#N/A
665,2,2,54.3125,#N/A,2,#N/A
561,3,2,50,#N/A,2,#N/A
419,2,2,48.22857143,2,#N/A,#N/A
364,2,2,45,2,#N/A,#N/A
507,2,2,56.63888889,#N/A,2,#N/A
478,3,2,76.34285714,#N/A,2,#N/A
246,3,2,54.11764706,#N/A,2,#N/A
165,4,2,48.22222222,2,#N/A,#N/A
332,1,2,43.02777778,2,#N/A,#N/A
258,2,2,60.51351351,#N/A,2,#N/A
87,2,2,60,#N/A,2,#N/A
204,2,2,49.19444444,2,#N/A,#N/A
324,3,2,45,2,#N/A,#N/A
263,1,2,44.14705882,2,#N/A,#N/A
340,2,2,57.36111111,#N/A,2,#N/A
191,0,2,44.91891892,2,#N/A,#N/A
240,1,2,42.29411765,2,#N/A,#N/A
270,5,2,60.94736842,#N/A,2,#N/A
244,2,2,54.05882353,#N/A,2,#N/A
140,1,2,56.75,#N/A,2,#N/A
322,2,2,49.11111111,2,#N/A,#N/A
225,1,2,53.23529412,#N/A,2,#N/A
326,4,2,48.41666667,2,#N/A,#N/A
10,1,2,44.14285714,2,#N/A,#N/A
187,2,2,53.2972973,#N/A,2,#N/A
227,2,2,39.23529412,2,#N/A,#N/A
112,2,2,47.52941176,2,#N/A,#N/A
95,2,2,50,#N/A,2,#N/A
303,4,2,87.42424242,#N/A,2,#N/A
26,2,2,49.08571429,2,#N/A,#N/A
103,2,2,67.29411765,#N/A,2,#N/A
229,2,2,60.79411765,#N/A,2,#N/A
104,6,2,57.26470588,#N/A,2,#N/A
90,2,2,54.05405405,#N/A,2,#N/A
311,2,2,62.45454545,#N/A,2,#N/A
44,1,2,43.30555556,2,#N/A,#N/A
315,4,2,71.06060606,#N/A,2,#N/A
133,2,2,49.27777778,2,#N/A,#N/A
323,2,2,47.77777778,2,#N/A,#N/A
206,1,2,47.30555556,2,#N/A,#N/A
251,11,2,118.8235294,#N/A,#N/A,2
117,3,2,93,#N/A,2,#N/A
328,2,2,42.77777778,2,#N/A,#N/A
39,2,2,44.08333333,2,#N/A,#N/A
333,2,2,42.80555556,2,#N/A,#N/A
296,3,2,77.12121212,#N/A,2,#N/A
218,2,2,45,2,#N/A,#N/A
159,2,2,59.05555556,#N/A,2,#N/A
219,6,2,55.05882353,#N/A,2,#N/A
349,1,2,46.25,2,#N/A,#N/A
83,3,2,43.24324324,2,#N/A,#N/A
162,6,2,55.11111111,#N/A,2,#N/A
404,1,1,48.83333333,1,#N/A,#N/A
532,1,1,43,1,#N/A,#N/A
369,1,1,56.63888889,#N/A,1,#N/A
442,1,1,58.69444444,#N/A,1,#N/A
611,1,1,40,1,#N/A,#N/A
371,1,1,48.52777778,1,#N/A,#N/A
512,1,1,58.47222222,#N/A,1,#N/A
374,1,1,44.22222222,1,#N/A,#N/A
526,1,1,42.27777778,1,#N/A,#N/A
453,1,1,51.27777778,#N/A,1,#N/A
569,0,1,45,1,#N/A,#N/A
454,1,1,43.91666667,1,#N/A,#N/A
621,1,1,48.08333333,1,#N/A,#N/A
378,1,1,43.05555556,1,#N/A,#N/A
333,3,1,53.38888889,#N/A,1,#N/A
469,3,1,53.26315789,#N/A,1,#N/A
518,2,1,52.57894737,#N/A,1,#N/A
337,1,1,45.58333333,1,#N/A,#N/A
390,1,1,67.16666667,#N/A,1,#N/A
475,2,1,45,1,#N/A,#N/A
370,1,1,54.02777778,#N/A,1,#N/A
343,2,1,86.77777778,#N/A,1,#N/A
553,1,1,40.10344828,1,#N/A,#N/A
422,2,1,52.72222222,#N/A,1,#N/A
575,1,1,40,1,#N/A,#N/A
489,1,1,53.28947368,#N/A,1,#N/A
338,5,1,109.0555556,#N/A,#N/A,1
496,1,1,64.86111111,#N/A,1,#N/A
637,1,1,40,1,#N/A,#N/A
386,1,1,60,#N/A,1,#N/A
433,2,1,47.97222222,1,#N/A,#N/A
17,2,1,57.02777778,#N/A,1,#N/A
39,1,1,43.33333333,1,#N/A,#N/A
267,1,1,53.61111111,#N/A,1,#N/A
25,1,1,44.27777778,1,#N/A,#N/A
76,1,1,62.83333333,#N/A,1,#N/A
44,1,1,55.52777778,#N/A,1,#N/A
61,1,1,43.55555556,1,#N/A,#N/A
165,1,1,41.88888889,1,#N/A,#N/A
277,1,1,40.16666667,1,#N/A,#N/A
1,1,1,52,#N/A,1,#N/A
138,1,1,52.58333333,#N/A,1,#N/A
88,1,1,43.41666667,1,#N/A,#N/A
226,4,1,54.11111111,#N/A,1,#N/A
174,1,1,52.22222222,#N/A,1,#N/A
247,2,1,48.16666667,1,#N/A,#N/A
175,2,1,51.61111111,#N/A,1,#N/A
257,1,1,44.13888889,1,#N/A,#N/A
90,1,1,62.88888889,#N/A,1,#N/A
130,1,1,44.27777778,1,#N/A,#N/A
2,3,1,54.10526316,#N/A,1,#N/A
